a_x,a_y,LLTD,bump,FL_Low_Fore,FL_Low_Aft,FL_Up_Fore,FL_Up_Aft,FL_Tie,FL_Push,FR_Low_Fore,FR_Low_Aft,FR_Up_Fore,FR_Up_Aft,FR_Tie,FR_Push,RL_Low_Fore,RL_Low_Aft,RL_Up_Fore,RL_Up_Aft,RL_Toe,RL_Push,RR_Low_Fore,RR_Low_Aft,RR_Up_Fore,RR_Up_Aft,RR_Toe,RR_Push,FL_Fx,FL_Fy,FL_Fz,FR_Fx,FR_Fy,FR_Fz,RL_Fx,RL_Fy,RL_Fz,RR_Fx,RR_Fy,RR_Fz
0.0,24.525000000000002,0.4,0.0,-1799.3164305699552,-1251.3130802043388,1791.204509837987,1727.396288572322,129.1494543184536,-4151.025082127341,0.0,0.0,0.0,0.0,0.0,0.0,-3420.8674011037133,-1009.4951142246405,3700.089998027298,3095.466487216413,-22.473314134387184,-7127.981228869812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0440127791076,-3389.974622788629,0.0,0.0,-0.0,0.0,4354.830987220893,-5125.882266975151,0.0,0.0,-0.0
0.7444000479554886,24.50319772249549,0.4,0.0,-1974.2010921516085,-1006.597582988237,1824.3810968645641,1641.696473925309,108.35646321111156,-4075.438555924643,0.0,0.0,0.0,0.0,0.0,0.0,-3907.5183936994013,-572.1633154763003,3854.5870180397933,3022.5808588253894,-35.61264954194835,-7199.473143726906,0.0,0.0,0.0,0.0,0.0,0.0,85.65085466623131,2819.3440244282247,-3319.583794024273,0.0,0.0,-0.0,133.94715948063788,4409.099303707945,-5191.4113595274775,0.0,0.0,-0.0
1.4874765797911078,24.437829653635728,0.4,0.0,-2136.6912476566645,-768.2597913868344,1852.2879686665663,1555.8076090330394,88.04846695760921,-3995.1182211798478,0.0,0.0,0.0,0.0,0.0,0.0,-4398.867479645335,-120.31903560566207,4007.070819554122,2942.7913341372787,-49.032720845548674,-7263.0071441165765,0.0,0.0,0.0,0.0,0.0,0.0,167.61324274824355,2753.726633161715,-3245.4287286150643,0.0,0.0,-0.0,271.19234829013317,4455.433114660825,-5250.989860290163,0.0,0.0,-0.0
2.2279084325503504,24.329012015461668,0.4,0.0,-2286.5541309172263,-536.8526943395077,1874.8835691589077,1469.9144108393332,68.27320788024582,-3910.1846105190434,0.0,0.0,0.0,0.0,0.0,0.0,-4893.984841190333,345.3548718001175,4157.263906616249,2856.2105289606307,-62.71020490009951,-7318.5002705362485,0.0,0.0,0.0,0.0,0.0,0.0,245.7319065100031,2683.4202064671513,-3167.6412715611577,0.0,0.0,-0.0,411.5010810923503,4493.6383380940415,-5304.511840863051,0.0,0.0,-0.0
2.9643791454195947,24.1769382817629,0.4,0.0,-2423.566521470309,-312.93188705337116,1892.131414953082,1384.205027416705,49.07872537339986,-3820.765595455815,0.0,0.0,0.0,0.0,0.0,0.0,-5391.951343923269,824.1701821676393,4304.897126040919,2762.9583411105395,-76.62184417785647,-7365.883328949332,0.0,0.0,0.0,0.0,0.0,0.0,319.85293413495344,2608.6624782023164,-3086.3597261224977,0.0,0.0,-0.0,554.638913763827,4523.53431491774,-5351.882141117861,0.0,0.0,-0.0
3.69557930034739,23.981878834088324,0.4,0.0,-2547.515142235501,-97.05542209511441,1904.0001131325794,1298.8709060942238,30.513344150662192,-3726.9960465091535,0.0,0.0,0.0,0.0,0.0,0.0,-5891.860253782219,1315.4354051866753,4449.710198409806,2663.161520859471,-90.7445002561113,-7405.10113361936,0.0,0.0,0.0,0.0,0.0,0.0,389.82388923416136,2529.7006283610076,-3001.728607920665,0.0,0.0,-0.0,700.3720043683187,4544.9536276950475,-5393.016538389425,0.0,0.0,-0.0
4.4202088501419645,23.744180481017583,0.4,0.0,-2658.1969077579693,110.21617268711088,1910.463324297013,1214.1066952079573,12.62567633710762,-3629.0174695450874,0.0,0.0,0.0,0.0,0.0,0.0,-6392.8191113673965,1818.4581118125384,4591.4522780658845,2556.9531754281124,-105.05521270781429,-7436.112722296223,0.0,0.0,0.0,0.0,0.0,0.0,455.4938784690275,2446.791367792479,-2913.8983879953803,0.0,0.0,-0.0,848.4677323228522,4557.741874107708,-5427.84189722051,0.0,0.0,-0.0
5.136979429907696,23.46426584154812,0.4,0.0,-2755.419017801307,308.3196912814351,1911.4996686110233,1130.1101839681328,-4.535361026999993,-3526.977616974823,0.0,0.0,0.0,0.0,0.0,0.0,-6893.951767918921,2332.5474992793866,4729.882543481424,2444.472203363412,-119.5312636671502,-7458.891544978115,0.0,0.0,0.0,0.0,0.0,0.0,516.7135529636579,2360.2010356673704,-2823.0252252724813,0.0,0.0,-0.0,998.6953788591123,4561.757387589323,-5456.296299393998,0.0,0.0,-0.0
5.8446166477108745,23.142632593693982,0.4,0.0,-2838.998888395975,496.6888394937678,1907.092571641064,1047.0822858842216,-20.92051116332121,-3421.0300721609797,0.0,0.0,0.0,0.0,0.0,0.0,-7394.4005911071745,2857.0172153642147,4864.770820360369,2325.862653431626,-134.15024846564177,-7473.425627534781,0.0,0.0,0.0,0.0,0.0,0.0,573.3350378788817,2270.2057182688563,-2729.2706889190536,0.0,0.0,-0.0,1150.8268731958262,4556.870896870868,-5478.32915402121,0.0,0.0,-0.0
6.541862350402053,22.77985258963249,0.4,0.0,-2908.763909477154,674.7535908583252,1897.230045689439,965.2270723040062,-36.48012310306126,-3311.3338050313323,0.0,0.0,0.0,0.0,0.0,0.0,-7893.3288530094815,3391.188468960546,4995.898240941695,2201.273001227876,-148.89015287542108,-7479.717711581528,0.0,0.0,0.0,0.0,0.0,0.0,625.2117830277946,2177.0913987206022,-2632.801471079351,0.0,0.0,-0.0,1304.637610340811,4542.965115220983,-5493.9012874906675,0.0,0.0,-0.0
